State,Date,Aerosol_Cans,,,
WA,2015,1,,,
WA,2015,0,,,
VA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
VA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
AK,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
HI,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,1,,,
WA,2015,0,,,
CA,2015,1,,,
CA,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
WA,2015,2,,,
OR,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
HI,2015,1,,,
WA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
MS,2015,0,,,
MS,2015,1,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
CA,2015,1,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,2,,,
OR,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
MS,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
AK,2015,0,,,
HI,2015,0,,,
HI,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
WA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
LA,2015,0,,,
MS,2015,1,,,
MS,2015,0,,,
MS,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
VA,2015,1,,,
CA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
OR,2015,1,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,2,,,
HI,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,1,,,
CA,2015,1,,,
WA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
AK,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
AK,2015,0,,,
WA,2015,0,,,
CA,2015,2,,,
AK,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
VA,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,1,,,
WA,2015,0,,,
WA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,2,,,
MS,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
HI,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
OR,2015,0,,,
VA,2015,0,,,
HI,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
AK,2015,1,,,
CA,2015,1,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
CA,2015,0,,,
LA,2015,0,,,
LA,2015,1,,,
LA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
WA,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
AK,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
WA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
AK,2015,0,,,
AK,2015,0,,,
AK,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
CA,2015,0,,,
AK,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
OR,2015,1,,,
MS,2015,0,,,
MS,2015,1,,,
MS,2015,1,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
HI,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,1,,,
VA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
VA,2015,0,,,
OR,2015,0,,,
AL,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
CA,2015,0,,,
AK,2015,0,,,
VA,2015,0,,,
OR,2015,0,,,
AK,2015,0,,,
AK,2015,0,,,
HI,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
VA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
LA,2015,1,,,
LA,2015,0,,,
LA,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
OR,2015,0,,,
AK,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
HI,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
OR,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
VA,2015,0,,,
TX,2015,0,,,
TX,2015,0,,,
TX,2015,0,,,
TX,2015,0,,,
TX,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
TX,2015,0,,,
TX,2015,3,,,
AL,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
AK,2015,0,,,
AK,2015,0,,,
AK,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AK,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
VA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
VA,2015,0,,,
TX,2015,1,,,
TX,2015,0,,,
TX,2015,0,,,
TX,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
LA,2015,0,,,
VA,2015,2,,,
TX,2015,0,,,
TX,2015,0,,,
TX,2015,0,,,
WA,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
FL,2015,0,,,
OR,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
MS,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
AL,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
VA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
CA,2015,0,,,
CA,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
OR,2015,0,,,
WA,2015,0,,,
WA,2016,0,,,
WA,2016,0,,,
CA,2016,0,,,
VA,2016,0,,,
VA,2016,0,,,
TX,2016,0,,,
TX,2016,0,,,
TX,2016,0,,,
VA,2016,0,,,
TX,2016,0,,,
TX,2016,0,,,
TX,2016,0,,,
TX,2016,0,,,
FL,2016,0,,,
FL,2016,0,,,
FL,2016,0,,,
AL,2016,0,,,
AL,2016,0,,,
AL,2016,0,,,
MS,2016,0,,,
MS,2016,0,,,
MS,2016,0,,,
